frequency,v1_0,v1_1,v1_2,v1_3,v1_4,v1_5,v1_6,v1_7,v1_8,v1_9,v1_10,v1_11,v1_12,v1_13,v1_14,v1_15,v1_16,v1_17,v1_18,v1_19,v1_20,v1_21,v1_22,v1_23,v1_24,v1_25,v1_26,v1_27,v1_28,v1_29,v1_30,v1_31,v2_0,v2_1,v2_2,v2_3,v2_4,v2_5,v2_6,v2_7,v2_8,v2_9,v2_10,v2_11,v2_12,v2_13,v2_14,v2_15,v2_16,v2_17,v2_18,v2_19,v2_20,v2_21,v2_22,v2_23,v2_24,v2_25,v2_26,v2_27,v2_28,v2_29,v2_30,v2_31,class
202186,-113.059,-114.662,-114.27,-114.52,-112.086,-110.503,-109.476,-107.942,-102.675,-97.0615,-91.1749,-87.9267,-86.718,-83.9584,-84.2326,-85.3285,-84.3819,-85.0448,-86.4016,-85.6094,-87.3089,-89.581,-93.8404,-97.8577,-101.988,-108.414,-110.999,-110.953,-113.543,-114.321,-113.724,-113.875,4.15179,3.07558,2.67508,3.02036,5.33112,4.89149,4.42244,3.65964,6.69474,6.18179,8.4496,7.85347,4.9558,4.35171,2.76992,4.15705,5.11548,5.06419,3.20982,5.51758,4.99063,5.78982,4.41185,3.47061,7.31136,5.36442,3.61581,4.8158,5.36169,3.02398,4.81486,4.59913,FM
202186,-104.505,-104.426,-104.255,-104.201,-103.839,-103.056,-101.702,-100.196,-98.0923,-96.2501,-94.1385,-91.9397,-89.4867,-87.5722,-86.1833,-82.7684,-82.7682,-86.5115,-87.7264,-90.176,-92.8254,-95.1707,-96.92,-98.585,-100.459,-101.507,-102.199,-102.74,-103.198,-103.602,-103.499,-103.521,4.58979,4.57128,4.64554,4.55738,4.65547,4.74563,4.90071,5.00349,5.15476,5.17378,5.22929,5.31978,5.69062,5.02581,4.98114,6.41808,6.67141,4.76308,5.31985,5.56551,5.18118,5.18634,5.07816,5.0942,4.95334,5.12101,4.82383,5.04274,5.24875,4.77017,5.13519,4.98254,FM
202186,-113.155,-113.458,-113.913,-113.916,-114.685,-114.86,-113.894,-113.908,-110.126,-110.131,-109.405,-106.01,-102.938,-93.8338,-90.7182,-83.9728,-82.0344,-89.4735,-94.3875,-98.5775,-108.961,-109.744,-110.345,-109.353,-112.117,-113.82,-114.225,-113.337,-114.109,-114.224,-114.161,-113.28,4.72466,4.30083,4.42057,5.0706,4.0714,5.11003,4.45509,3.73639,6.04889,4.36935,7.22522,6.70144,6.53805,8.59338,5.70227,8.71962,10.0989,11.447,7.4464,11.7842,5.18438,6.4432,5.71539,5.60916,5.09443,4.16783,4.6575,6.07785,4.98066,5.31506,2.8768,4.79429,FM
202186,-106.358,-105.612,-103.843,-102.632,-103.378,-102.076,-101.868,-101.113,-97.5544,-94.1179,-91.8304,-89.0761,-85.9741,-84.899,-83.3812,-83.3209,-83.3836,-82.3124,-84.0905,-82.9879,-88.2182,-91.7581,-92.1188,-95.5172,-98.7545,-98.4984,-100.884,-100.964,-103.193,-102.756,-103.529,-103.549,4.25398,3.80551,8.03212,4.39673,3.77831,4.28677,4.01217,3.69424,5.43847,6.40881,6.43387,4.17464,5.3559,3.35901,4.9295,5.02979,4.47773,5.54127,5.53716,7.00781,4.67096,5.1702,8.3747,4.60271,3.46349,6.21886,5.9347,6.17863,3.98833,4.34092,3.16868,5.08034,FM
202186,-105.802,-105.071,-102.948,-103.629,-101.705,-101.86,-101.836,-100.152,-96.1718,-95.4877,-91.1666,-90.8865,-86.7331,-85.9899,-84.8649,-84.8762,-84.7856,-83.539,-86.5234,-86.7907,-88.7959,-92.8025,-95.6183,-97.9393,-99.359,-101.649,-100.951,-102.369,-104.037,-102.076,-104.78,-103.487,2.90882,2.85377,4.82819,3.86133,6.35162,4.92668,5.03368,1.9008,6.80471,6.93322,6.18395,4.37497,6.10604,5.92283,6.01741,4.05761,4.11374,4.61688,3.9431,6.68288,4.17357,6.47521,4.11613,4.98662,5.83704,3.76546,4.47482,3.69302,6.30826,2.98325,3.59693,5.61285,FM
202186,-129.131,-130.231,-126.839,-124.106,-119.474,-117.764,-114.234,-108.648,-103.827,-96.9203,-92.1309,-86.291,-83.0471,-82.8165,-80.2268,-80.0794,-80.2848,-81.4579,-83.1423,-84.5068,-87.9055,-91.7974,-98.1648,-104.243,-109.916,-113.085,-117.054,-118.831,-123.554,-128.111,-128.68,-128.444,3.47958,2.93404,3.78389,5.02129,8.23697,4.84332,5.98236,5.7851,5.18644,9.25993,6.65641,10.5128,6.22821,4.60876,6.14698,5.23329,5.27033,7.57549,3.86423,5.99068,5.90314,7.79942,7.81397,6.09539,3.81937,6.1468,5.28899,4.91021,5.43291,4.50974,4.29475,6.77269,FM
202186,-130.194,-130.231,-129.522,-128.749,-131.247,-126.931,-125.224,-124.391,-113.376,-118.972,-114.848,-111.421,-109.503,-99.5797,-100.158,-87.7538,-85.7268,-103.156,-100.549,-110.214,-114.499,-113.327,-117.071,-113.487,-127.008,-125.028,-129.219,-130.989,-129.738,-131.068,-129.385,-128.934,4.70312,5.42577,5.14992,6.56306,2.60913,6.29523,5.74565,7.21242,9.02157,5.19463,5.92772,5.41307,9.53599,8.10365,7.69282,11.6666,18.4305,7.59817,12.7634,7.79556,4.99941,10.551,5.68951,12.4899,4.58848,6.77182,6.61421,3.85884,4.93451,4.28027,4.18723,5.57761,FM
202186,-129.637,-130.418,-130.672,-130.695,-127.426,-124.813,-118.295,-116.439,-111.354,-108.602,-107.642,-99.7059,-94.6086,-87.1902,-82.8364,-80.3922,-79.3459,-82.3283,-87.8048,-91.9445,-102.231,-105.766,-110.021,-112.1,-114.179,-120.637,-123.348,-128.635,-128.767,-131.178,-131.289,-128.67,3.46011,3.15486,3.5052,4.58875,4.0496,5.67922,7.28604,4.01775,4.97028,4.21105,5.92759,7.10874,7.02445,8.4257,4.62004,4.41464,2.55181,9.50902,7.94943,11.6332,4.71257,3.30582,5.78755,4.32605,10.5778,5.18961,4.68391,3.43903,6.07556,3.76906,3.46182,6.52824,FM
202186,-104.826,-109.512,-110.517,-111.333,-111.596,-111.244,-85.8318,-84.3958,-83.9955,-83.8359,-83.5504,-83.2668,-83.0039,-82.8659,-82.4985,-82.5756,-107.1,-108.563,-109.042,-109.36,-109.705,-110.19,-110.757,-111.087,-111.793,-112.055,-112.345,-112.544,-112.459,-112.739,-112.66,-112.664,8.1005,5.16775,4.93529,4.72634,4.59989,4.63529,28.5202,4.32369,4.63031,4.31345,4.56853,4.38065,4.45587,4.28639,4.394,25.3468,5.62509,4.57253,4.63383,4.59129,4.80115,4.64668,4.6634,4.74704,4.554,4.6112,4.64444,4.53835,4.63199,4.42431,4.57852,4.66292,FM
202186,-129.95,-129.114,-130.398,-129.111,-128.155,-126.708,-124.306,-120.324,-116.228,-114.63,-110.275,-109.381,-101.067,-98.3677,-89.7851,-87.9416,-90.194,-91.4551,-96.2667,-104.71,-109.1,-112.273,-112.247,-117.948,-120.886,-122.805,-127.635,-128.453,-129.374,-129.859,-129.472,-128.204,3.19572,4.26123,5.01537,5.32205,6.16217,3.92342,3.26959,5.63071,4.89276,5.49693,6.67043,4.25891,9.07529,3.71519,10.4324,3.5227,4.5077,4.81599,8.24989,4.59465,3.96255,6.66792,5.61258,7.39243,5.89113,7.87871,3.73882,4.84372,5.27544,6.14677,7.48787,5.65628,FM
202186,-103.921,-105.276,-106.425,-105.719,-106.236,-105.197,-103.971,-105.044,-102.367,-103.084,-97.9844,-98.7262,-90.5075,-89.7914,-82.9909,-80.1076,-82.2017,-80.4873,-84.5948,-93.3657,-94.5533,-101.233,-100.829,-105.55,-103.913,-104.005,-105.475,-105.45,-105.84,-105.917,-106.486,-105.567,7.45986,4.68408,4.17519,2.97504,4.70181,3.92984,5.37895,4.91682,5.78586,5.08009,7.6526,5.34953,9.96124,3.3223,7.99974,5.92525,6.16901,4.64507,11.258,3.60498,10.3775,4.2622,7.72504,3.20775,5.71089,5.60426,3.92069,4.52132,3.4467,5.2816,3.11097,3.56937,FM
202186,-105.868,-104.336,-106.094,-106.145,-106.635,-104.961,-105.708,-106.08,-104.969,-104.664,-101.64,-102,-95.4339,-91.9516,-83.4485,-79.3031,-81.5917,-86.6014,-91.5592,-98.2715,-102.684,-104.786,-105.547,-105.615,-103.944,-105.494,-105.305,-105.073,-105.568,-106.069,-105.763,-106.082,5.2428,5.03934,5.33748,5.2383,3.46351,5.29031,6.48028,3.66315,3.58128,5.29317,6.63754,2.90386,7.77934,6.47387,8.99901,4.28105,6.60975,4.68514,9.48341,7.99548,4.96053,5.2262,5.57524,3.99363,4.77856,6.42194,6.68539,4.87408,4.63203,5.05192,3.70673,5.71701,FM
202186,-99.5149,-99.3392,-119.617,-118.045,-117.314,-113.591,-110.391,-106.549,-102.341,-99.9763,-97.829,-93.7554,-91.08,-90.5011,-90.9766,-91.3018,-93.2063,-89.7817,-91.4385,-93.7053,-94.7822,-100.466,-100.7,-104.159,-107.488,-109.176,-114.23,-116.152,-117.144,-120.361,-101.11,-99.3825,2.86967,5.88007,5.02392,4.25314,4.88922,4.2275,4.98566,3.71129,5.21744,6.6643,7.62093,4.93028,7.10114,3.84045,9.10812,8.01983,6.13764,5.4931,6.84878,4.50306,8.57149,6.70463,8.40933,5.28275,3.71565,5.30108,3.89011,7.1293,7.18478,4.01403,5.58287,4.52262,FM
202186,-98.6719,-99.9555,-124.469,-123.79,-121.714,-121.023,-116.722,-114.537,-113.722,-106.431,-108.118,-98.4234,-97.9527,-99.1488,-94.6792,-99.8313,-94.3982,-95.5122,-96.8934,-94.3409,-104.969,-105.263,-108.968,-111.521,-110.712,-119.546,-118.28,-122.567,-122.649,-123.013,-99.8554,-98.3357,3.77583,27.5977,4.79781,4.74337,5.69294,5.3998,7.72814,5.56474,6.56928,8.3197,4.45923,12.1286,7.49243,8.25282,6.92628,5.92214,9.61558,7.33538,7.48598,10.931,6.95514,6.65742,9.39995,9.04364,9.90804,5.15428,7.56569,7.83333,8.3063,7.18397,30.7849,4.28873,FM
202186,-98.3914,-98.7184,-110.426,-108.235,-106.012,-102.561,-98.0479,-94.575,-92.3419,-88.2239,-87.6938,-86.2895,-85.5622,-86.6209,-83.8444,-84.1351,-84.461,-82.3771,-85.3994,-86.3438,-85.8347,-88.6271,-91.0488,-91.7172,-94.2785,-96.8618,-100.748,-104.2,-108.108,-109.218,-101.494,-98.6273,4.42895,15.6628,6.46452,4.5107,3.99753,4.90211,5.52434,6.54106,5.10654,5.79354,3.9373,3.93091,4.48125,3.79523,5.46676,3.83927,5.57695,8.03357,5.45321,3.14599,8.21163,6.62421,3.56967,4.45619,5.2711,4.28885,4.64929,4.42028,5.03646,5.61927,15.3646,4.46554,FM
202186,-114.196,-113.481,-109.961,-108.67,-105.489,-104.465,-101.171,-101.35,-96.1653,-96.9585,-94.1423,-93.1444,-88.9753,-87.1997,-86.2402,-85.0208,-85.8826,-84.7811,-87.756,-87.1576,-88.1974,-86.836,-90.1851,-92.1361,-94.6133,-98.7145,-100.875,-104.609,-104.716,-106.693,-109.364,-111.391,6.32276,5.03493,5.90178,5.15998,5.17452,5.3969,7.05547,3.51865,5.94657,7.816,9.01944,5.83869,10.4762,6.50237,6.03522,7.39903,7.57374,10.1817,6.02029,7.47163,4.31457,5.84745,4.80741,3.7823,5.30365,6.28135,6.13229,5.62007,6.32962,3.53601,6.50526,3.69962,FM
